Entity,Code,Year,Working hours per worker,Crude divorce rate
United Kingdom,GBR,1965,1997.568,0.7
United Kingdom,GBR,1966,1941.6097,0.7
United Kingdom,GBR,1967,1929.5275,0.8
United Kingdom,GBR,1968,1922.2015,0.8
United Kingdom,GBR,1969,1912.6047,0.9
United Kingdom,GBR,1970,1870.8944,1.0
United Kingdom,GBR,1971,1830.1425,1.3
United Kingdom,GBR,1972,1851.3665,2.1
United Kingdom,GBR,1973,1860.2523,1.9
United Kingdom,GBR,1974,1845.297,2.0
United Kingdom,GBR,1975,1814.0796,2.1
United Kingdom,GBR,1976,1807.0242,2.3
United Kingdom,GBR,1977,1816.9293,2.3
United Kingdom,GBR,1978,1818.0375,2.6
United Kingdom,GBR,1979,1815.493,2.5
United Kingdom,GBR,1980,1785.3964,2.6
United Kingdom,GBR,1981,1749.12,2.6
United Kingdom,GBR,1982,1745.4192,2.6
United Kingdom,GBR,1983,1739.5485,2.6
United Kingdom,GBR,1984,1745.7526,2.6
United Kingdom,GBR,1985,1748.0818,2.8
United Kingdom,GBR,1986,1742.7368,2.7
United Kingdom,GBR,1987,1747.5668,2.7
United Kingdom,GBR,1988,1754.7257,2.7
United Kingdom,GBR,1989,1758.5569,2.6
United Kingdom,GBR,1990,1745.9441,2.7
United Kingdom,GBR,1991,1720.5466,2.8
United Kingdom,GBR,1992,1714.3304,2.8
United Kingdom,GBR,1993,1710.316,2.9
United Kingdom,GBR,1994,1720.5905,2.7
United Kingdom,GBR,1995,1722.6252,2.9
United Kingdom,GBR,1996,1722.0925,3.0
United Kingdom,GBR,1997,1721.1954,2.8
United Kingdom,GBR,1998,1716.9994,2.7
United Kingdom,GBR,1999,1708.6104,2.7
United Kingdom,GBR,2000,1692.954,2.6
United Kingdom,GBR,2001,1695.9764,2.7
United Kingdom,GBR,2002,1678.5614,2.7
United Kingdom,GBR,2003,1669.3804,2.8
United Kingdom,GBR,2004,1666.7157,2.8
United Kingdom,GBR,2005,1669.7372,2.6
United Kingdom,GBR,2006,1663.9857,2.4
United Kingdom,GBR,2007,1665.8214,2.3
United Kingdom,GBR,2008,1660.4688,2.2
United Kingdom,GBR,2009,1638.3318,2.0
United Kingdom,GBR,2010,1643.2079,2.1
United Kingdom,GBR,2011,1639.8158,2.1
United Kingdom,GBR,2012,1655.019,2.1
United Kingdom,GBR,2013,1665.9749,2.0
United Kingdom,GBR,2014,1672.4341,1.9
United Kingdom,GBR,2015,1669.4652,1.7
United Kingdom,GBR,2016,1667.6989,1.8
United Kingdom,GBR,2017,1668.9491,1.7
United Kingdom,GBR,2018,1663.1888,1.5
United Kingdom,GBR,2019,1667.9478,1.8
